127.0.0.1 - - [09/Nov/2024:17:50:19 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:50:22 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:50:23 -0300] "GET /Sistema_de_Lixo/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:50:23 -0300] "GET /Sistema_de_Lixo/Assets/Fundo.png HTTP/1.1" 200 1230762
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:50:23 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:50:25 -0300] "GET /Sistema_de_Lixo/validacao.jsp?rua=&numero=&capacidade=&finalidade= HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:52:06 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:52:21 -0300] "GET /Sistema_de_Lixo/validacao.jsp?rua=jose+do+patrocionio&numero=325&capacidade=100&finalidade=Organico HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:54:10 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:55:58 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:56:06 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:56:26 -0300] "GET /Sistema_de_Lixo/index.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [09/Nov/2024:17:56:55 -0300] "GET /Sistema_de_Lixo/validacao.jsp?rua=Rua+Jos%C3%A9+no+Patroc%C3%ADnio&numero=325&capacidade=25&finalidade=Seco HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [09/Nov/2024:18:00:17 -0300] "GET /Sistema_de_Lixo/validacao.jsp?rua=Rua+Jos%C3%A9+no+Patroc%C3%ADnio&numero=325&capacidade=25&finalidade=Seco HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [09/Nov/2024:18:00:20 -0300] "GET /Sistema_de_Lixo/validacao.jsp?rua=Rua+Jos%C3%A9+no+Patroc%C3%ADnio&numero=325&capacidade=25&finalidade=Seco HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [09/Nov/2024:18:00:42 -0300] "GET /Sistema_de_Lixo/validacao.jsp?rua=Rua+Jos%C3%A9+no+Patroc%C3%ADnio&numero=325&capacidade=25&finalidade=Seco HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [09/Nov/2024:18:00:59 -0300] "GET /Sistema_de_Lixo/validacao.jsp?rua=Rua+Jos%C3%A9+no+Patroc%C3%ADnio&numero=325&capacidade=25&finalidade=Seco HTTP/1.1" 200 247
